,SA1_7DIGIT,Neighbour
1202,1101614,1101615
1203,1101614,1101620
1204,1101615,1101609
1205,1101615,1101614
1206,1101615,1101616
1207,1101616,1101609
1208,1101616,1101614
1209,1101616,1101615
1210,1101616,1101617
1211,1101616,1101620
1212,1101617,1101605
1213,1101617,1101609
1214,1101617,1101616
1215,1101617,1101620
1216,1101618,1101606
1217,1101618,1101604
1218,1101618,1101605
1219,1101618,1101609
1220,1101619,1101606
1221,1101619,1101602
1222,1101619,1101603
1223,1101620,1101605
1224,1101620,1101614
1225,1101620,1101616
1226,1101620,1101617
1227,1101701,1101703
1228,1101701,1101819
1229,1101701,1101720
1230,1101701,1101722
1231,1101701,1101823
1232,1101702,1101714
1233,1101702,1101703
1234,1101702,1101718
1235,1101702,1101722
1236,1101703,1101702
1237,1101703,1101718
1238,1101703,1101701
1239,1101703,1101722
1240,1101703,1101823
1241,1101704,1101706
1242,1101704,1101714
1243,1101704,1101718
1244,1101704,1101705
1245,1101705,1101706
1246,1101705,1101704
1247,1101706,1101714
1248,1101706,1101704
1249,1101706,1101705
1250,1101706,1101707
1251,1101707,1101706
1252,1101707,1102401
1253,1101707,1101714
1254,1101707,1101720
1255,1101707,1101722
1256,1101707,1101721
1257,1101707,1102402
1258,1101707,1101711
1259,1101707,1101717
1260,1101707,1102404
1261,1101707,1102411
1262,1101708,1101719
1263,1101708,1101710
1264,1101708,1101715
1265,1101708,1101709
1266,1101709,1101710
1267,1101709,1101708
1268,1101709,1102401
1269,1101709,1101715
1270,1101709,1101712
1271,1101709,1101711
1272,1101710,1101708
1273,1101710,1101709
1274,1101710,1101712
1275,1101711,1102401
1276,1101711,1101709
1277,1101711,1101716
1278,1101711,1101712
1279,1101711,1101717
1280,1101711,1101707
1281,1101712,1101710
1282,1101712,1101709
1283,1101712,1101716
1284,1101712,1101711
1285,1101712,1101713
1286,1101713,1101716
1287,1101713,1101712
1288,1101713,1101717
1289,1101714,1101706
1290,1101714,1101702
1291,1101714,1101718
1292,1101714,1101704
1293,1101714,1101722
1294,1101714,1101721
1295,1101714,1101707
1296,1101715,1101719
1297,1101715,1101708
1298,1101715,1102401
1299,1101715,1101709
1300,1101716,1101712
1301,1101716,1101711
1302,1101716,1101717
1303,1101716,1101713
1304,1101717,1101716
1305,1101717,1101711
1306,1101717,1101713
1307,1101717,1101707
1308,1101718,1101714
1309,1101718,1101703
1310,1101718,1101702
1311,1101718,1101704
1312,1101718,1101823
1313,1101719,1101708
1314,1101719,1101715
1315,1101720,1101819
1316,1101720,1101701
1317,1101720,1101722
1318,1101720,1102404
1319,1101720,1101707
1320,1101721,1101714
1321,1101721,1101722
1322,1101721,1101707
1323,1101722,1101714
1324,1101722,1101703
1325,1101722,1101702
1326,1101722,1101720
1327,1101722,1101701
1328,1101722,1101721
1329,1101722,1101707
1330,1101801,1101817
1331,1101801,1101802
1332,1101802,1101803
1333,1101802,1101817
1334,1101802,1101801
1335,1101803,1101805
1336,1101803,1101804
1337,1101803,1101806
1338,1101803,1101808
1339,1101803,1101813
1340,1101803,1101814
1341,1101803,1101815
1342,1101803,1101817
1343,1101803,1101802
1344,1101803,1102404
1345,1101804,1101809
1346,1101804,1101806
1347,1101804,1101807
