,SA2_MAIN16,Neighbour0
717,108011153,108051170
718,108011153,108011151
719,108011153,108011152
720,108011153,108011154
721,108011154,108011153
722,108011154,108011152
723,108021155,108021156
724,108021156,108021160
725,108021156,108021157
726,108021156,110011189
727,108021156,110011187
728,108021156,104021083
729,108021156,108021159
730,108021156,108021155
731,108021156,108041165
732,108021157,108021158
733,108021157,108021156
734,108021157,108021159
735,108021158,108021157
736,108021158,108021159
737,108021159,108021157
738,108021159,104021090
739,108021159,108021158
740,108021159,108021156
741,108021159,104021083
742,108021160,108021156
743,108041162,108041165
744,108041162,108041166
745,108041162,108041163
746,108041162,108051170
747,108041163,108041162
748,108041163,108041166
749,108041163,108041164
750,108041164,108041165
751,108041164,108041166
752,108041164,108041163
753,108041165,110011189
754,108041165,108021156
755,108041165,108041162
756,108041165,108041166
757,108041165,108041164
758,108041165,108051170
759,108041166,108041162
760,108041166,108041165
761,108041166,108041163
762,108041166,108041164
763,108051167,110011189
764,108051167,106041129
765,108051167,108051170
766,108051167,108011151
767,108051167,106011110
768,108051168,108051169
769,108051168,108051170
770,108051168,108011153
771,108051169,108051168
772,108051169,108051170
773,108051169,108051171
774,108051170,110011189
775,108051170,108041162
776,108051170,108041165
777,108051170,108051168
778,108051170,108051169
779,108051170,108051171
780,108051170,108011151
781,108051170,108011153
782,108051170,108051167
783,108051171,108051169
784,108051171,108051170
785,109011172,109011174
786,109011172,109011175
787,109011172,109011173
788,109011172,109011176
789,109011173,109011174
790,109011173,109011175
791,109011173,109011176
792,109011173,109011172
793,109011174,109011175
794,109011174,109011173
795,109011174,109011172
796,109011175,113031271
797,109011175,109011174
798,109011175,109031181
799,109011175,109011173
800,109011175,109011176
801,109011175,109011172
802,109011175,113021260
803,109011176,109011175
804,109011176,109011173
805,109011176,109011172
806,109021177,109021179
807,109021177,113011257
808,109021177,105021098
809,109021177,109031183
810,109021178,109021179
811,109021179,109021177
812,109021179,109021178
813,109021179,105021098
814,109021179,109031183
815,109031180,109031181
816,109031181,113011259
817,109031181,113031271
818,109031181,109031180
819,109031181,109011175
820,109031181,109031185
821,109031182,109031183
822,109031183,109021177
823,109031183,109021179
824,109031183,113011257
825,109031183,109031184
826,109031183,109031182
827,109031183,109031185
828,109031184,109031183
829,109031185,113011257
830,109031185,113011259
831,109031185,109031181
832,109031185,109031183
833,110011186,110011188
834,110011186,110011187
835,110011187,110021192
836,110011187,110021190
837,110011187,104011081
838,110011187,110011188
839,110011187,110011189
840,110011187,110011186
841,110011187,108021156
842,110011187,104021083
843,110011187,104021087
844,110011188,110021192
845,110011188,110011189
846,110011188,110011187
847,110011188,110011186
848,110011188,110041205
849,110011189,110011188
850,110011189,110011187
851,110011189,108021156
852,110011189,106041129
853,110011189,110041205
854,110011189,108041165
855,110011189,108051170
856,110011189,108051167
857,110021190,110021192
858,110021190,110021194
859,110021190,104011081
860,110021190,110011187
861,110021191,110021193
862,110021191,110021192
863,110021192,110031196
864,110021192,110021193
865,110021192,110021191
866,110021192,110021194
867,110021192,110021190
868,110021192,110011188
869,110021192,110011187
870,110021192,110041205
871,110021193,110031196
872,110021193,110021192
873,110021193,110021191
874,110021193,110031198
875,110021193,110041205
876,110021194,110021192
877,110021194,110021190
878,110021194,104011081
879,110021194,112021245
880,110021194,112021247
881,110031195,110031196
882,110031196,110031195
883,110031196,110021193
884,110031196,110021192
885,110031196,110031198
886,110031196,105011096
887,110031197,110031198
888,110031198,110031196
889,110031198,110021193
890,110031198,105031099
891,110031198,110031197
892,110031198,110041200
893,110031198,110041205
894,110031198,105011094
895,110031198,105011096
896,110041199,110041200
897,110041200,105031099
898,110041200,110031198
899,110041200,110041199
900,110041200,110041201
901,110041200,110041205
902,110041201,105031099
903,110041201,110041200
904,110041201,106041129
905,110041201,110041205
906,110041202,110041205
907,110041202,110041203
908,110041202,110041204
909,110041203,110041205
910,110041203,110041202
911,110041203,110041204
912,110041204,110041205
913,110041204,110041202
914,110041204,110041203
915,110041205,110021193
916,110041205,110021192
917,110041205,110031198
918,110041205,110041200
919,110041205,110011188
920,110041205,110011189
921,110041205,106041129
922,110041205,110041201
923,110041205,110041202
924,110041205,110041203
925,110041205,110041204
926,111011206,111011210
927,111011206,111011208
928,111011206,111011211
929,111011206,111011213
930,111011206,111011207
931,111011207,111011206
932,111011208,111031228
933,111011208,111031222
934,111011208,111011210
935,111011208,111011211
936,111011208,111011209
937,111011208,111011206
938,111011209,111031222
939,111011209,111011210
940,111011209,111011208
