src_SA1_7DIG16,nbr_SA1_7DIG16
1101610,1101609
1101610,1101306
1101610,1101608
1101610,1101607
1101611,1101612
1101612,1126015
1101612,1101604
1101612,1101603
1101612,1101601
1101612,1101605
1101612,1101306
1101612,1101608
1101612,1101611
1101613,1101609
1101613,1101610
1101614,1101605
1101614,1101609
1101614,1101616
1101614,1101615
1101614,1101620
1101615,1101609
1101615,1101614
1101615,1101616
1101616,1101609
1101616,1101614
1101616,1101615
1101616,1101617
1101616,1101620
1101617,1101605
1101617,1101609
1101617,1101616
1101617,1101620
1101618,1101606
1101618,1101604
1101618,1101605
1101618,1101609
1101619,1101606
1101619,1101602
1101619,1101603
1101620,1101605
1101620,1101614
1101620,1101616
1101620,1101617
1101701,1101703
1101701,1101819
1101701,1101720
1101701,1101722
1101701,1101823
1101702,1101714
1101702,1101703
1101702,1101718
1101702,1101722
1101703,1101702
1101703,1101718
1101703,1101701
1101703,1101722
1101703,1101823
1101704,1101706
1101704,1101714
1101704,1101718
1101704,1101705
1101705,1101706
1101705,1101704
1101706,1101714
1101706,1101704
1101706,1101705
1101706,1101707
1101707,1101706
1101707,1102401
1101707,1101714
1101707,1101720
1101707,1101722
1101707,1101721
1101707,1102402
1101707,1101711
1101707,1101717
1101707,1102404
1101707,1102411
1101708,1101719
1101708,1101710
1101708,1101715
1101708,1101709
1101709,1101710
1101709,1101708
1101709,1102401
1101709,1101715
1101709,1101712
1101709,1101711
1101710,1101708
1101710,1101709
1101710,1101712
1101711,1102401
1101711,1101709
1101711,1101716
1101711,1101712
1101711,1101717
1101711,1101707
1101712,1101710
1101712,1101709
1101712,1101716
1101712,1101711
1101712,1101713
1101713,1101716
1101713,1101712
1101713,1101717
1101714,1101706
1101714,1101702
1101714,1101718
1101714,1101704
1101714,1101722
1101714,1101721
1101714,1101707
1101715,1101719
1101715,1101708
1101715,1102401
1101715,1101709
1101716,1101712
1101716,1101711
1101716,1101717
1101716,1101713
1101717,1101716
1101717,1101711
1101717,1101713
1101717,1101707
1101718,1101714
1101718,1101703
1101718,1101702
1101718,1101704
1101718,1101823
1101719,1101708
1101719,1101715
1101720,1101819
1101720,1101701
1101720,1101722
1101720,1102404
1101720,1101707
1101721,1101714
1101721,1101722
1101721,1101707
1101722,1101714
1101722,1101703
1101722,1101702
1101722,1101720
1101722,1101701
1101722,1101721
1101722,1101707
1101801,1101817
1101801,1101802
1101802,1101803
1101802,1101817
1101802,1101801
1101803,1101805
1101803,1101804
1101803,1101806
1101803,1101808
1101803,1101813
1101803,1101814
1101803,1101815
1101803,1101817
1101803,1101802
1101803,1102404
1101804,1101809
1101804,1101806
1101804,1101807
1101804,1101803
1101805,1101819
1101805,1101811
1101805,1101818
1101805,1101808
1101805,1101803
1101805,1102404
1101806,1101804
1101806,1101808
1101806,1101807
1101806,1101803
1101807,1101809
1101807,1101811
1101807,1101810
1101807,1101804
1101807,1101806
1101807,1101808
1101808,1101811
1101808,1101805
1101808,1101806
1101808,1101807
1101808,1101803
1101809,1101810
1101809,1101812
1101809,1101804
1101809,1101807
1101810,1101809
1101810,1101811
1101810,1101812
1101810,1101807
1101811,1101819
1101811,1101810
1101811,1101812
1101811,1101818
1101811,1101805
1101811,1101808
1101811,1101807
1101812,1101809
1101812,1101811
1101812,1101810
1101812,1101818
1101812,1101822
1101813,1101803
1101813,1102105
1101813,1102404
1101814,1101803
1101814,1101815
1101814,1101816
1101815,1101803
1101815,1101814
1101815,1101816
1101815,1101817
1101816,1101814
1101816,1101815
1101816,1101817
1101817,1101803
1101817,1101815
1101817,1101816
1101817,1101801
1101817,1101802
1101818,1101819
1101818,1101811
1101818,1101812
1101818,1101822
1101818,1101805
1101819,1101720
1101819,1101701
1101819,1101823
1101819,1101820
1101819,1101821
1101819,1101811
1101819,1101818
1101819,1101822
1101819,1101805
1101819,1102404
1101820,1101819
1101820,1101823
1101820,1101821
1101821,1101819
1101821,1101823
1101821,1101820
1101821,1101822
1101822,1101819
1101822,1101823
1101822,1101821
1101822,1101812
1101822,1101818
1101823,1101703
1101823,1101718
1101823,1101819
1101823,1101701
1101823,1101820
1101823,1101821
1101823,1101822
1101901,1101923
1101901,1101909
1101901,1101904
1101901,1101902
1101901,1101903
1101902,1101923
1101902,1101917
1101902,1101901
1101902,1101903
1101903,1101917
1101903,1101904
1101903,1101901
1101903,1101902
1101903,1101905
1101903,1101920
1101904,1101909
1101904,1101907
1101904,1101901
1101904,1101906
1101904,1101903
1101904,1101920
1101905,1101921
1101905,1101917
1101905,1101906
1101905,1101903
1101905,1101920
1101906,1101921
1101906,1101917
1101906,1101907
1101906,1101904
1101906,1101905
1101906,1101920
1101907,1101917
1101907,1101909
1101907,1101904
1101907,1101906
1101907,1101920
1101909,1101923
1101909,1101917
1101909,1102028
1101909,1101907
1101909,1101904
1101909,1101901
1101911,1101916
1101911,1101912
1101911,1101913
1101912,1101916
1101912,1101913
1101912,1101911
1101913,1101916
1101913,1101922
1101913,1101912
1101913,1101911
1101914,1101915
1101914,1101919
1101914,1101916
1101915,1101919
1101915,1101917
1101915,1102021
1101915,1101914
1101915,1101916
1101916,1101915
1101916,1101919
1101916,1102509
1101916,1102021
1101916,1101914
1101916,1101922
1101916,1101912
1101916,1101913
1101916,1101911
1101917,1101921
1101917,1101923
1101917,1101918
1101917,1101915
1101917,1101919
1101917,1102001
1101917,1102028
1101917,1102021
1101917,1101909
1101917,1101907
1101917,1101906
1101917,1101902
1101917,1101903
1101917,1101905
1101918,1101923
1101918,1102017
1101918,1101919
1101918,1101917
1101919,1101918
1101919,1102017
1101919,1101915
1101919,1102019
1101919,1101917
1101919,1101914
1101919,1101916
1101919,1101922
1101920,1101907
1101920,1101904
1101920,1101906
1101920,1101903
1101920,1101905
1101921,1101917
1101921,1101906
1101921,1101905
1101922,1101919
1101922,1101916
1101922,1101913
1101923,1101918
1101923,1102017
1101923,1102023
1101923,1101917
1101923,1102028
1101923,1101909
1101923,1101901
1101923,1101902
1102001,1101917
1102001,1102028
1102001,1102011
1102001,1102021
1102001,1102002
1102002,1102001
1102002,1102011
1102002,1102021
1102002,1102004
1102002,1102003
1102002,1102009
1102002,1102525
1102003,1102002
1102004,1102011
1102004,1102002
1102004,1102032
1102004,1102006
1102004,1102009
1102005,1102010
1102005,1102006
1102005,1102009
1102005,1102008
1102005,1102304
1102006,1102004
1102006,1102010
1102006,1102032
1102006,1102005
1102006,1102009
1102007,1102513
1102007,1102516
1102007,1102523
1102007,1102009
1102007,1102008
1102007,1102524
1102007,1102031
1102008,1102005
1102008,1102009
1102008,1102007
1102008,1102031
1102008,1102304
1102009,1102004
1102009,1102002
1102009,1102006
1102009,1102005
1102009,1102007
1102009,1102008
1102009,1102524
1102009,1102525
1102010,1101308
1102010,1102032
1102010,1102006
1102010,1102005
1102011,1102001
1102011,1102028
1102011,1102027
1102011,1102025
1102011,1102004
1102011,1102002
1102011,1102032
1102012,1102201
1102012,1102024
1102012,1102027
1102012,1101307
1102012,1102032
1102013,1102018
1102014,1102018
1102014,1102030
1102014,1102029
1102014,1102201
1102014,1102016
1102014,1102015
1102014,1102019
1102015,1102711
1102015,1102030
1102015,1102029
1102015,1102201
1102015,1102014
1102015,1102710
1102015,1102712
1102016,1102201
1102016,1102014
1102017,1101923
1102017,1101918
1102017,1101919
1102017,1102019
1102017,1102020
1102017,1102023
1102018,1102013
1102018,1102201
1102018,1102014
1102018,1102019
1102018,1102020
1102019,1102018
1102019,1102029
1102019,1102014
1102019,1102710
1102019,1102017
1102019,1101919
1102019,1102020
1102020,1102018
1102020,1102201
1102020,1102017
1102020,1102019
1102020,1102023
1102020,1102026
1102021,1101915
1102021,1102001
1102021,1101917
1102021,1102509
1102021,1101916
1102021,1102002
1102021,1102525
1102022,1102024
1102023,1101923
1102023,1102017
1102023,1102020
1102023,1102028
1102023,1102026
1102024,1102201
1102024,1102012
1102024,1102027
1102024,1102022
1102024,1102026
1102025,1102011
1102026,1102201
1102026,1102020
1102026,1102023
1102026,1102028
1102026,1102024
1102026,1102027
1102027,1102028
1102027,1102012
1102027,1102024
1102027,1102011
1102027,1102026
1102027,1102032
1102028,1101923
1102028,1102001
1102028,1102023
1102028,1101917
1102028,1102027
1102028,1102011
1102028,1102026
1102028,1101909
1102029,1102030
1102029,1102014
1102029,1102015
1102029,1102710
1102029,1102019
1102030,1102029
1102030,1102014
1102030,1102015
1102031,1102513
1102031,1102523
1102031,1102007
1102031,1102008
1102031,1102304
1102032,1102012
1102032,1102027
1102032,1102011
1102032,1101308
1102032,1101307
1102032,1102004
1102032,1102010
1102032,1102006
1102101,1102109
1102101,1102104
1102101,1102102
1102102,1102109
1102102,1102101
1102102,1102104
1102104,1102109
1102104,1102101
1102104,1102102
1102104,1102108
1102105,1101813
1102105,1102106
1102105,1102404
1102106,1102105
