SA2_2016_CODE,SA2_NAME,Employed_persons_working,Average_commuting_distance,Median_commuting_distance,interquartile_range_distance,standard_deviation_distance
318021473,Deeragun,2495,8.76,7.65,10.93,10.29
318021474,Douglas,6726,10.11,8.02,6.66,11.27
318021475,Garbutt - West End,11340,10.31,8.08,7.58,11.62
318021476,Gulliver - Currajong - Vincent,2942,9.01,6.4,7.18,13.42
318021477,Heatley,466,6.72,5.01,6.61,8.25
318021478,Hermit Park - Rosslea,1706,9.36,6.51,8.35,13.45
318021479,Hyde Park - Pimlico,4138,8.78,6.49,7.6,10.3
318021480,Kelso,572,7.18,2.46,11.23,12.22
318021481,Kirwan - East,2186,8.08,6.08,7.82,9.22
318021482,Kirwan - West,4069,7.94,6.29,8.18,9.52
318021483,Magnetic Island,654,5,2.3,5.81,8.24
318021484,Mount Louisa,5149,12.01,9.95,6.55,13.62
318021485,Mundingburra,1400,7.76,6.08,6.51,8.32
318021486,Northern Beaches,833,17.55,12.38,25.71,21.08
318021487,Oonoonba,1603,10.29,7.06,10.38,13.9
318021488,South Townsville - Railway Estate,3128,11.71,9.61,11.04,14.56
318021489,Townsville - South,732,26.57,20.83,47.07,28.21
318021490,Townsville City - North Ward,10213,10.43,8.97,9.83,11.62
318021491,Wulguru - Roseneath,2486,16.15,14.46,11.03,13.37
319011492,Ashfield - Kepnock,1045,10.32,6.04,10.27,14.5
319011493,Bargara - Burnett Heads,2548,9.01,6.27,11.88,14.03
319011494,Branyan - Kensington,1227,11.07,7.65,10.17,13.75
319011495,Bundaberg,9405,10.1,5.6,10.58,13.68
319011496,Bundaberg East - Kalkie,2693,10.1,6.57,8.23,15.29
319011497,Bundaberg North - Gooburrum,1948,10.99,7.07,9.74,14.52
319011498,Bundaberg Region - North,1333,16.55,12.95,26.76,19.43
319011499,Bundaberg Region - South,3179,20.26,12.39,29.58,25.03
319011500,Millbank - Avoca,2012,9.32,6.09,8.09,12.81
319011501,Svensson Heights - Norville,2764,11.01,5.97,12.4,15.56
319011502,Walkervale - Avenell Heights,1405,8.83,5,9.94,12.56
319021503,Gayndah - Mundubbera,2669,27.39,7.73,36.93,40.14
319021504,Gin Gin,1256,20.6,12.01,25.89,27.64
319021505,Kingaroy,5267,15.11,4.39,19.02,29.12
319021506,Kingaroy Region - North,2749,21.35,12.29,26.1,33.89
319021507,Kingaroy Region - South,838,20.76,11.06,26.71,37.42
